NAME,TEAM,POS,GP,MPG,FT,TWO_P,THREE_P,eFG,PPG,RPG,APG,SPG,BPG,TPG
Jaylen Brown,Bos,F,70,33.5,0.703,0.57,0.354,0.557,23,5.5,3.6,1.2,0.5,2.4
Zion Williamson,Nor,F,70,31.5,0.702,0.574,0.333,0.573,22.9,5.8,5,1.1,0.7,2.8
Kyle Kuzma,Was,F,70,32.6,0.775,0.53,0.336,0.521,22.2,6.6,4.2,0.5,0.7,2.7
Tobias Harris,Phi,F,70,33.8,0.878,0.537,0.353,0.535,17.2,6.5,3.1,1,0.7,1.3
Max Strus,Cle,F,70,32,0.794,0.546,0.351,0.533,12.2,4.8,4,0.9,0.4,1.6
Toumani Camara,Por,F,70,24.8,0.758,0.523,0.337,0.516,7.5,4.9,1.2,0.9,0.5,1.2
Amir Coffey,Lac,G-F,70,20.9,0.859,0.571,0.38,0.571,6.6,2.1,1.1,0.6,0.2,0.5
Jaxson Hayes,Lal,C-F,70,12.5,0.622,0.754,0,0.72,4.3,3,0.5,0.5,0.4,0.6
Miles Bridges,Cha,F,69,37.4,0.825,0.529,0.349,0.527,21,7.3,3.3,0.9,0.5,2
Tyrese Haliburton,Ind,G,69,32.2,0.855,0.595,0.364,0.57,20.1,3.9,10.9,1.2,0.7,2.3
Keldon Johnson,San,F,69,29.5,0.792,0.533,0.346,0.527,15.7,5.5,2.8,0.7,0.3,1.4
Jrue Holiday,Bos,G,69,32.8,0.833,0.526,0.429,0.581,12.5,5.4,4.8,0.9,0.8,1.8
Zach Collins,San,C,69,22.1,0.753,0.552,0.32,0.531,11.2,5.4,2.8,0.5,0.8,1.9
Isaac Okoro,Cle,F,69,27.3,0.679,0.57,0.391,0.577,9.4,3,1.9,0.8,0.5,0.8
Kenrich Williams,Okc,G-F,69,14.9,0.5,0.54,0.397,0.568,4.7,3,1.3,0.6,0.1,0.5
Anthony Black,Orl,G,69,16.9,0.613,0.51,0.394,0.54,4.6,2,1.3,0.5,0.3,0.8
Jaylin Williams,Okc,F,69,13,0.805,0.5,0.368,0.533,4,3.4,1.6,0.4,0.4,0.5
